OrderDate,OrderQuantity,OrderNumber,ProductName,ProductPrice,ProductCost,ProductColor,SubcategoryName,CategoryName,FirstName,LastName,Gender,EducationLevel,Occupation,MaritalStatus,Country,Region
2020-01-01 00:00:00,1,SO45079,"Road-150 Red, 48",3578.27,2171.2942,Red,Road Bikes,Bikes,KYLE,WASHINGTON,M,Partial College,Professional,S,United States,Southwest
2020-01-01 00:00:00,1,SO45080,"Road-650 Black, 58",699.0982,413.1463,Black,Road Bikes,Bikes,JOHN,THOMAS,M,Partial College,Skilled Manual,M,United States,Northwest
2020-01-01 00:00:00,1,SO45081,"Road-650 Black, 44",699.0982,413.1463,Black,Road Bikes,Bikes,SETH,LEWIS,M,High School,Skilled Manual,S,Canada,Canada
2020-01-01 00:00:00,1,SO45082,"Mountain-100 Black, 44",3374.99,1898.0944,Black,Mountain Bikes,Bikes,ROSS,SANZ,M,High School,Management,M,Australia,Australia
2020-01-02 00:00:00,1,SO45083,"Road-150 Red, 48",3578.27,2171.2942,Red,Road Bikes,Bikes,ALEJANDRO,CHEN,M,High School,Manual,S,United Kingdom,United Kingdom
2020-01-02 00:00:00,1,SO45084,"Road-150 Red, 62",3578.27,2171.2942,Red,Road Bikes,Bikes,GRACE,JENKINS,F,Bachelors,Professional,S,United States,Southwest
2020-01-02 00:00:00,1,SO45085,"Road-150 Red, 48",3578.27,2171.2942,Red,Road Bikes,Bikes,REGINALD,ALVAREZ,M,Partial College,Skilled Manual,S,Australia,Australia
2020-01-02 00:00:00,1,SO45086,"Road-150 Red, 56",3578.27,2171.2942,Red,Road Bikes,Bikes,JACQUELYN,DIAZ,F,Partial College,Skilled Manual,S,Australia,Australia
2020-01-03 00:00:00,1,SO45087,"Mountain-100 Black, 44",3374.99,1898.0944,Black,Mountain Bikes,Bikes,JOSEPH,MARTIN,M,Graduate Degree,Clerical,M,United Kingdom,United Kingdom
2020-01-03 00:00:00,1,SO45088,"Mountain-100 Silver, 42",3399.99,1912.1544,Silver,Mountain Bikes,Bikes,COLIN,NATH,M,Bachelors,Clerical,S,United Kingdom,United Kingdom
2020-01-03 00:00:00,1,SO45089,"Mountain-100 Black, 48",3374.99,1898.0944,Black,Mountain Bikes,Bikes,JENNA,LOPEZ,F,Graduate Degree,Professional,M,United States,Southwest
